program,organization,phone_number,fax_number,email,website,address,hours,contact,description,fees,application,eligibility,languages,areas_served
PAL-Reading Services,,416-340-7828,,info@palreading.org,www.palreading.org,"27 Carlton St, Ste 504","Mon-Tue 9:30 am-7 pm, Wed-Fri 9:30 am-5 pm",,"Individual recordings of material required for school, job support or personal development",Individuals -- free * organizations or businesses -- contact for a quote,Call or email,"Persons who are print-challenged, including those who are blind or have low vision, a severe motor disability, learning disabilities, or other disabilities that make it difficult to read print",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Ontario Agencies Supporting Individuals with Special Needs,,,,oasis@oasisonline.ca,www.oasisonline.ca,,,,"Networking and information sharing between agencies and the Ministry * offers resource services such as educational seminars, job postings, labour and government relations and policy debate","Assessment fee for the full fiscal year is $1,500 per agency",Apply online,Non-profit organizations with a volunteer Board of Directors that provide services to persons with developmental disabilities,English,Ontario
Elspeth Heyworth Centre for Women,,416-663-2978,416-479-0898,info@ehcw.ca,,"2350 Finch Ave W, Unit D",Mon-Fri 9:30 am-5 pm,Susmita Vaidya - Settlement Counsellor,"Newcomer settlement services and job search support services * freedom from violence projects * counselling services for families * group sessions and workshops at various locations
",None,Call or walk in,"Newcomers, immigrant and refugee women and their families",English ; Punjabi ; Russian ; Urdu ; Hindi ; Gujarati ; Farsi,North York ; Etobicoke and area
Home Maintenance,Seniors for Seniors - Toronto,416-481-2733,416-481-3213,info@seniorsforseniors.ca,www.seniorsforseniors.ca,"2 Bloor St E, Ste 1804",Mon-Fri 8am-5pm,Rosemary Brown - Coordinator,,Set fee,Self-referral-telephone * assessment by telephone and in home assessment,Seniors 50 years and older,English ; Italian ; Spanish ; Farci,"Greater Toronto Area including Toronto, North York, Mississauga, Oakville, Brampton Caledon, Vaughan"
Dixon Community Services,,416-243-5154,416-243-6063,,www.dixoncommunity.com,"557 Dixon Rd, Unit 125",Mon-Sat 9am-5pm,,"Immigrant, refugee and newcomer services * education, health and employment ",,,,English ; Somali,Toronto (Etobicoke)
Leisure Information Network,,416-426-7176,416-426-7371,info@lin.ca,www.lin.ca,"1 Concorde Gate, Ste 302",,Kerry Kelly - Executive Director,"Information resource for recreation, parks and active, healthy living * advances leisure as an essential element of quality of life * publishes related news, events and job postings",,Visit the website for more information,,English,Canada
"Toronto Downtown Office, 2nd Fl",Ontario. Ministry of Community and Social Services. Ontario Disability Support Program,416-314-5700,416-314-3843,,www.mcss.gov.on.ca/en/mcss/programs/social/odsp,"385 Yonge St, 2nd Fl",Mon-Fri 8:30 am-5 pm,Rolando Rajo - ODSP Manager,"Income Supports:Health benefits -- prescription drugs * dental care * vision care * medical supplies, including diabetic and surgical supplies * transportation to medical treatment if cost",,Call  to arrange a meeting or ,"This office serves people in the following postal code areas: M4G, M4H, M4M, M4W, M4X, M4Y, M5A, M5B, M5C, M5E, M5G, M5H, M5J, M5K, M5L, M5T, M5V, M5W, M5X, M6J, M6K, M6R",English ; French,"East York, North York, Toronto"
PACT Urban Peace Program,,416-656-8824,,ben@pactprogram.ca,www.pactprogram.ca,c/o David Lockett,Vary by program and site -- call or visit website for details,Ben Marshall - Director of Program Development,,None,"Referral by probation officers, judges, guidance and employment counsellors, youth workers, social workers, teachers and other community based youth focused agencies * LifePlan Coaching -- referral from youth court","Youth 13-21 years, at risk, in conflict with the law, under resourced, marginalized and/or a newcomer",English,"Durham Region, East York, Etobicoke, Halton, Mississauga, North York, Scarborough, Toronto, York - Toronto, York Region"
RDEE Ontario - EmployabilitÃ© et Immigration,,416-596-0220,416-596-7968,vsniadoch@rdee-ont.ca,www.rdee-ont-employabilite-immigration.ca,"2 Carlton St, Ste 1305",,"ValÃ©rie Sniadoch - Director, Employability and Immigration","Employment preparation * assessment of skills, interests and experience * labour market information * training and work placement opportunities * workshops on job search techniques * resume writing",None,Call for an appointment with the agent of the area,"Francophones, including people with jobs, those who are under-employed, people looking for work, students, working holiday permit holders, internationally trained individuals, employers",French,"Algoma, Barrie & Area, Brampton, Brant, Burlington, Caledon, Cambridge, Chatham â Kent, Cochrane, Collingwood & Area, Dufferin County, Durham Region, East York, Elgin, Etobicoke, Frontenac & Kingston, Grey and Bruce, Guelph, Haldimand Norfolk, Haliburton, Halton, Hamilton, Hastings, Huron and Perth, Kawartha Lakes, Kenora District, Kitchener-Waterloo, Lanark, Leeds & Grenville, Lennox & Addington, London and Middlesex, Malton, Manitoulin/Sudbury, Midland, Penetanguishene & Area, Mississauga, Muskoka, Niagara, Nipissing, North Lanark/North Grenville, North York, Northumberland, Orillia & Area, Ottawa, Oxford and Norfolk, Parry Sound, Peterborough, Prescott/Russell, Prince Edward, Rainy River District, Renfrew County, Rural Wellington, Sarnia â Lambton, Scarborough, South Simcoe, Stormont/Dundas/Glengarry, Thunder Bay City, Thunder Bay District, Timiskaming, Toronto, Trent Hills, Windsor â Essex, Woodbridge, York - Toronto, York Region"
Mixed Company Theatre,,416-515-8080,416-515-9521,info@mixedcompanytheatre.com,www.mixedcompanytheatre.com,"157 Carlton St, Ste 201",Mon-Fri 10 am-5 pm,Kristin Bartlett - Artistic Project Manager,,Vary for different services,Call or send email,,English ; French,"Algoma, Barrie & Area, Brampton, Brant, Burlington, Caledon, Cambridge, Chatham â Kent, Cochrane, Collingwood & Area, Dufferin County, Durham Region, East York, Elgin, Etobicoke, Frontenac & Kingston, Grey and Bruce, Guelph, Haldimand Norfolk, Haliburton, Halton, Hamilton, Hastings, Huron and Perth, Kawartha Lakes, Kenora District, Kitchener-Waterloo, Lanark, Leeds & Grenville, Lennox & Addington, London and Middlesex, Malton, Manitoulin/Sudbury, Midland, Penetanguishene & Area, Mississauga, Muskoka, Niagara, Nipissing, North Lanark/North Grenville, North York, Northumberland, Orillia & Area, Ottawa, Oxford and Norfolk, Parry Sound, Peterborough, Prescott/Russell, Prince Edward, Rainy River District, Renfrew County, Rural Wellington, Sarnia â Lambton, Scarborough, South Simcoe, Stormont/Dundas/Glengarry, Thunder Bay City, Thunder Bay District, Timiskaming, Toronto, Trent Hills, Windsor â Essex, Woodbridge, York - Toronto, York Region"
Accident Solutions - Bloor Christie Chiropractic / Rehabilitation Centre,,416-929-7100,905-503-9181,bloorchristie@rogers.com,www.accidentsolutions.ca,"2401 Yonge St, Ste 209",Open Mon-Sun * hours vary depending on the service,,Chiropractic services * in-home assessments * functional capacity evaluations * job site assessments * insuring appropriate post-injury medical follow-up * post-injury assessments,Set fee,Appointment required,People requiring rehabilitation services and specialty assessments for injuries and disability,English,Toronto and area
Out of the Cold. Meal Programs - Teesdale Drop-In - Monday Lunch,,416-694-1138 ext 164,416-699-2743,barbarag@wardenwoods.com,www.wardenwoods.com,Warden Woods Community Centre,"December 14, 2015 to April 11, 2016 -- drop-in Mon 10 am-4 pm (lunch 12 noon-1:30 pm, social activities 1:30 pm-4 pm)",Barbara Garcia - Community Development Worker,"Hot meal * housing application assistance * job search, information and referral * harm reduction, including needle exchange, condoms * recreation and social activities",None,Call or drop in,Open to all * children must be accompanied by parent/caregiver,English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Toronto Catholic District School Board - St Leonard Adult Education Centre,,416-397-6959,,,www.tcdsb.org/adulted,100 Ravel Rd,Mon-Fri 9 am-2:30 pm,,English as a Second Language (ESL) classes ,None,ESL -- call to register * ESL for Health Care Professionals-- attend information session * ELT -- call to book prior learning assessment interview,"ESL -- adults 18 years and older who are Permanent Residents, Convention Refugees, Refugee Claimants or have initial approval of residency, Canadian Citizens born outside of Canada or those admitted under the Live-in Caregiver program * ESL for Health Care Professionals -- health care professionals who are refugee claimants, Convention refugees, permanent residents or Canadian citizens * ELT for ESL Instructors Blended Course -- internationally trained ESL instructors who are  Convention refugees or permanent residents",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Toronto Fashion Incubator,,416-971-7117,416-971-6717,tfi@fashionincubator.com,www.fashionincubator.com,285 Manitoba Dr,"Mon-Fri 9 am-12 noon, 1 pm-5 pm",Nina Facciolo - Office Manager,"Business advice, career counselling, mentoring * seminars, workshops, job postings, industry events, fashion shows, networking * resource centre * studio space for lease * newsletter","Annual membership fee * fees vary for equipment, facilities, seminars, special events",Visit ,New fashion designers and small business entrepreneurs,English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Toronto. Hostel Services - Fort York Residence,,Shift Leader 416-338-6544 ; Front office 416-338-8800,416-338-6556,,www.toronto.ca/housing/index.htm,38 Bathurst St,Mon-Sun 24 hours,,,Shelter -- free * transitional housing -- room and board geared to income may be charged,Referral from Seaton House or agencies serving homeless men -- ,Men 18 years and older who are employment ready,English ; French,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Society for the Living - Food Bank and Community Services,,416-746-0388,Call first 416-746-0388,societyfortheliving@yahoo.com,,274 Eddystone Ave,Mon-Fri 9 am-3 pm * ,,Food Bank -- member of North York Harvest Food Bank,None,Call for appointment,Open to all,English ; French ; Spanish ; Twi ; Ewe,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
CollÃ¨ge BorÃ©al - Employment Services and Immigrant Services,,416-289-5130,416-289-5139,clic.toronto@collegeboreal.ca,www.collegeboreal.ca,Toronto Star Building,Mon-Fri 9 am-5 pm,Jaya Valaydon - Immigrant Services and Programs,"Employment services -- job search, workshops and referral ",None,"Call, email or walk in","Employment services -- francophones and french speaking clientsLINC Program -- permanent residents or Convention refugeesBridging Program in Project Management  -- citizens, permanent residents or convention refugeesOccupation Specific Language Training (OSLT) -- permanent residents, Convention refugees and English language level 6-8",English ; French ; French - Designated Agency under the French Language Services Act,"Durham Region, East York, Etobicoke, Halton, Mississauga, North York, Scarborough, Toronto, York - Toronto, York Region"
Community Information Fairview,,416-493-0752,416-493-0823,communityinfofairview@rogers.com,,Fairview Mall,Mon-Fri 10 am-4 pm * also Wed-Thu 6 pm-9 pm,,,None,,,English ; German ; Spanish ; Chinese (Cantonese),"East York, North York, Toronto"
"Czech and Slovak Association of Canada, Toronto Branch",,416-925-2241,,,www.cssk.ca,"3044 Bloor St W, Box 564",Voice mail,"Radmila Locher - President, Toronto Branch",,"Membership fee -- $30, seniors $15",Call for appointment,Newcomers,English ; Czech ; Slovak,"Durham Region, East York, Etobicoke, Halton, Mississauga, North York, Scarborough, Toronto, York - Toronto, York Region"
Employment Preparation Program,Oasis Addiction Recovery Society,416-461-7739,416-406-3861,fterzo@oasisemployment.org,oasisemployment.com,921 Danforth Ave,Mon-Fri 8:30 am-4:30 pm,Frank Terzo - Employment Program Manager,,None,"Call for appointment, intake and assessment * visit ","Individuals 18 years and older who are unemployed and in recovery from drug or alcohol addiction, and their families",English,"Durham Region, East York, Etobicoke, Halton, Mississauga, North York, Scarborough, Toronto, York - Toronto, York Region"
